Player_ID,First Name,Last Name,Date of Birth,Nationality,Height (cm),Weight (kg),Preferred Foot,Primary Position,Secondary Position,Guardian Name,Guardian Phone,Email
P0076,Khalid,Al Shammari,1/19/2014,Saudi,164,44,Left,Forward,Midfielder,Abu Nasser,001-448-117-9720,sdqylkhrfy@al.com
P0077,Saad,Al Shehri,12/28/2011,Saudi,141,39,Right,Goalkeeper,Goalkeeper,Abu Omar,001-837-552-5621x386,mutywm07@lqyl-bn.org
P0078,Turki,Al Harbi,8/14/2014,Saudi,176,50,Right,Midfielder,Forward,Abu Abdullah,003.391.7903,chnbwly@hotmail.com
P0079,Omar,Al Shehri,4/5/2012,Saudi,175,73,Right,Midfielder,Midfielder,Abu Nasser,934.069.0631,rgb89@hotmail.com
P0080,Turki,Al Harbi,9/28/2013,Saudi,177,73,Right,Goalkeeper,Forward,Abu Abdullah,001-839-394-8044,rjhbqshn@hotmail.com
P0081,Abdullah,Al Harbi,8/12/2013,Saudi,143,66,Right,Defender,Defender,Abu Faisal,(282)207-4751x2778,mhdyljfly@ljln-lmhydb.com
P0082,Bandar,Al Subaie,7/6/2010,Saudi,150,66,Right,Forward,Defender,Abu Saad,474.018.7516x34438,b17@b.org
P0083,Omar,Al Subaie,9/1/2010,Saudi,174,35,Left,Forward,Midfielder,Abu Khalid,524-906-9009x0069,lmhntl@lkhrfy.com
P0084,Abdullah,Al Mutairi,6/3/2009,Saudi,140,71,Left,Forward,Defender,Abu Faisal,024.920.1658x04205,lwrlmhydb@hotmail.com
P0085,Saad,Al Shehri,7/31/2009,Saudi,157,57,Right,Forward,Midfielder,Abu Faisal,(992)325-0641x75656,yd23@yahoo.com
P0086,Omar,Al Mutairi,7/12/2012,Saudi,140,73,Left,Defender,Goalkeeper,Abu Nasser,+1-471-218-0324x04895,dshrbtly@gmail.com
P0087,Khalid,Al Harbi,11/8/2010,Saudi,167,71,Left,Forward,Defender,Abu Turki,404-763-6222x18759,alhjr@al.info
P0088,Turki,Al Shehri,4/10/2015,Saudi,176,64,Right,Defender,Defender,Abu Bandar,(199)267-1929x01328,qnwljln@yahoo.com
P0089,Bandar,Al Qahtani,8/3/2014,Saudi,148,60,Left,Midfielder,Midfielder,Abu Turki,389-791-8304,lmhydbsdwn@gmail.com
P0090,Faisal,Al Otaibi,1/7/2014,Saudi,146,36,Right,Goalkeeper,Goalkeeper,Abu Talal,399.861.2203x31417,al-tftb@lrshd-ljln.com
P0091,Bandar,Al Dossari,8/24/2013,Saudi,150,59,Right,Forward,Goalkeeper,Abu Nasser,309-358-6976,qlqyl@yahoo.com
P0092,Faisal,Al Saud,6/2/2010,Saudi,172,57,Right,Defender,Goalkeeper,Abu Talal,+1-161-408-0123x220,lrshdnwrh@al.com
P0093,Mohammed,Al Harbi,6/2/2014,Saudi,180,38,Right,Forward,Goalkeeper,Abu Faisal,001-992-570-2319x942,hsyn24@knw.com
P0094,Talal,Al Zahrani,6/9/2014,Saudi,176,47,Right,Defender,Midfielder,Abu Abdullah,9485293944,drynhjr@lmhydb.biz
P0095,Talal,Al Shammari,3/7/2012,Saudi,160,56,Left,Midfielder,Midfielder,Abu Turki,7147318684,lkhrfyfd@lshy.com
P0096,Talal,Al Zahrani,3/20/2011,Saudi,166,52,Right,Goalkeeper,Defender,Abu Faisal,(599)583-4683x52625,ljflysyfldwyn@gmail.com
P0097,Khalid,Al Dossari,2/2/2012,Saudi,171,45,Left,Midfielder,Goalkeeper,Abu Bandar,(950)213-9950x7031,mshfq22@gmail.com
P0098,Saad,Al Otaibi,1/26/2010,Saudi,148,70,Left,Forward,Defender,Abu Abdullah,+1-313-329-0994x1843,sbn-ldn@yahoo.com
P0099,Saad,Al Otaibi,1/29/2012,Saudi,173,49,Right,Goalkeeper,Goalkeeper,Abu Khalid,567.273.6239x34953,lmgwlftwh@al.com
P0100,Omar,Al Shammari,1/1/2012,Saudi,145,69,Right,Midfielder,Midfielder,Abu Bandar,182.894.2061,ylmshwl@yahoo.com
P0101,Nasser,Al Dossari,10/20/2010,Saudi,160,42,Right,Midfielder,Goalkeeper,Abu Faisal,001-074-333-3360x4874,snmbw-dwwd@gmail.com
P0102,Faisal,Al Dossari,7/29/2012,Saudi,163,43,Right,Midfielder,Goalkeeper,Abu Turki,(599)819-4518,gldbg@llyn.com
P0103,Nasser,Al Otaibi,7/5/2012,Saudi,157,61,Right,Midfielder,Forward,Abu Omar,-5524,smy65@knw.com
P0104,Omar,Al Mutairi,12/4/2013,Saudi,146,52,Left,Forward,Forward,Abu Nasser,+1-977-471-0310x766,bd-lswmdlmhn@hotmail.com
P0105,Omar,Al Shammari,3/10/2010,Saudi,156,41,Left,Forward,Midfielder,Abu Omar,364-863-9473x7158,shfbqshn@ljfly.com
P0106,John,Baker,4/5/2015,Puerto Rico,154,50,Right,Midfielder,Goalkeeper,Alexander Jones,195.739.5071x989,rwy08@hotmail.com
P0107,Nasser,Al Zahrani,11/7/2011,Saudi,156,45,Left,Goalkeeper,Defender,Abu Talal,(572)202-5274x09496,btl71@hnbwly.com
P0108,Khalid,Al Shehri,1/25/2013,Saudi,142,69,Left,Defender,Forward,Abu Nasser,650-076-8749,nm78@gmail.com
P0109,Omar,Al Subaie,1/30/2015,Saudi,152,67,Left,Defender,Defender,Abu Omar,(322)899-6652x275,ftkr80@gmail.com
P0110,Turki,Al Otaibi,7/22/2011,Saudi,167,70,Left,Midfielder,Midfielder,Abu Faisal,001-152-932-6041x5338,nsyfal-lshykh@hotmail.com
P0111,Talal,Al Saud,9/22/2011,Saudi,158,53,Right,Goalkeeper,Forward,Abu Khalid,+1-156-142-2239x904,shrbtlyshyb@al.biz
P0112,Turki,Al Qahtani,5/23/2009,Saudi,174,72,Right,Defender,Goalkeeper,Abu Faisal,+1-116-738-8128x45993,elhjr@b.info
P0113,Bandar,Al Zahrani,7/21/2013,Saudi,162,62,Left,Forward,Defender,Abu Omar,3216601901,bd-lqhwrbw-dwwd@lmshwl-al.com
P0114,Mohammed,Al Shammari,3/31/2012,Saudi,148,64,Left,Midfielder,Defender,Abu Talal,579-858-9775,rjhlrshd@yahoo.com
P0115,Christopher,Dixon,4/28/2013,Solomon Islands,169,60,Left,Forward,Forward,Christopher Richards,(977)198-3125x57765,hlmhydb@al.com
P0116,Omar,Al Harbi,9/21/2014,Saudi,158,37,Left,Defender,Goalkeeper,Abu Abdullah,+1-148-211-1334x764,al-hsynsmt@al.com
P0117,Talal,Al Zahrani,7/25/2012,Saudi,144,42,Left,Midfielder,Forward,Abu Omar,744-391-4139x617,lmhnjsm@gmail.com
P0118,Faisal,Al Otaibi,2/22/2014,Saudi,167,75,Left,Defender,Defender,Abu Khalid,269.194.5353,lqmnlhkyr@lqyl-al.com
P0119,Khalid,Al Subaie,12/7/2013,Saudi,166,68,Left,Midfielder,Midfielder,Abu Nasser,835.368.2587x0276,srrlhjr@hotmail.com
P0120,Omar,Al Subaie,8/7/2012,Saudi,146,42,Right,Forward,Forward,Abu Omar,7658175181,hbw-dwwd@b.com
P0121,Saad,Al Subaie,10/15/2010,Saudi,155,62,Right,Midfielder,Forward,Abu Nasser,(970)095-3749,hsyn66@yahoo.com
P0122,Omar,Al Zahrani,10/3/2010,Saudi,141,56,Right,Defender,Forward,Abu Khalid,006.099.3409,dal-jfr@hotmail.com
P0123,Omar,Al Shammari,2/16/2010,Saudi,155,41,Right,Goalkeeper,Goalkeeper,Abu Saad,987.514.5605x0450,mrtjylhkyr@hotmail.com
P0124,Nasser,Al Harbi,5/5/2011,Saudi,179,40,Right,Defender,Goalkeeper,Abu Turki,231.993.9304,wal-khdyr@lmhydb.com
P0125,Khalid,Al Dossari,5/19/2010,Saudi,161,49,Left,Forward,Defender,Abu Turki,819-789-5870x85773,tbwal-sltn@al.com
P0126,Faisal,Al Shehri,6/10/2010,Saudi,168,43,Right,Defender,Goalkeeper,Abu Saad,001-056-399-9229x4241,zwldwynal-khdyr@hotmail.com
P0127,Perry,Clark,6/8/2014,Liechtenstein,157,56,Left,Goalkeeper,Defender,James Gonzalez,001-954-837-1717,shdn55@fsyl-bw.info
P0128,Bandar,Al Qahtani,12/7/2011,Saudi,160,75,Right,Forward,Forward,Abu Talal,+1-359-031-8535x65098,al-wdflh@hotmail.com
P0129,Brian,Mercado,8/24/2013,Korea,164,47,Right,Goalkeeper,Forward,Ryan Norman,255725903,mrtqyldbg@gmail.com
P0130,Turki,Al Qahtani,2/20/2014,Saudi,178,36,Right,Forward,Defender,Abu Talal,+1-013-686-3103x0280,bd-lhfyz66@al.biz
P0131,Talal,Al Shehri,4/25/2009,Saudi,145,43,Right,Forward,Midfielder,Abu Turki,862-218-0454x9073,qal-swd@lhjr-al.com
P0132,Omar,Al Zahrani,9/3/2010,Saudi,163,50,Right,Midfielder,Goalkeeper,Abu Khalid,888.038.1083x393,sbhy36@shrbtly-al.com
P0133,Nasser,Al Shehri,10/10/2013,Saudi,180,75,Left,Defender,Defender,Abu Bandar,(945)484-4213,dhwk53@knw.com
P0134,Omar,Al Mutairi,7/31/2009,Saudi,180,59,Right,Midfielder,Goalkeeper,Abu Nasser,001-956-405-0185x04219,obw-dwwd@al.com
P0135,Khalid,Al Harbi,1/19/2015,Saudi,140,45,Right,Defender,Forward,Abu Abdullah,043-040-6790,shdwdal-myd@al.com
P0136,Bandar,Al Harbi,5/5/2009,Saudi,154,49,Left,Forward,Forward,Abu Bandar,(626)692-6667x38827,kflmshwl@fsyl.com
P0137,Turki,Al Subaie,11/12/2010,Saudi,163,69,Left,Goalkeeper,Defender,Abu Turki,+1-523-082-1582x9019,ksr10@al.info
P0138,Khalid,Al Mutairi,7/8/2013,Saudi,153,49,Right,Midfielder,Defender,Abu Turki,(220)307-4732x601,zhrbw-dwwd@al.org
P0139,Turki,Al Otaibi,9/28/2010,Saudi,175,40,Left,Goalkeeper,Goalkeeper,Abu Turki,001-461-445-1006x4815,jl05@al.com
P0140,Faisal,Al Shehri,3/4/2014,Saudi,179,75,Left,Midfielder,Midfielder,Abu Turki,(937)517-6678,bdal-khdyr@al.org
P0141,Omar,Al Saud,3/8/2013,Saudi,175,53,Left,Defender,Goalkeeper,Abu Faisal,1804632415,lhjr@ljfly.biz
P0142,Omar,Al Dossari,7/1/2010,Saudi,155,60,Left,Forward,Defender,Abu Omar,001-748-639-6600x36454,mhmwdal-yd@yahoo.com
P0143,Talal,Al Mutairi,9/5/2010,Saudi,176,51,Left,Goalkeeper,Goalkeeper,Abu Abdullah,+1-520-899-0444x447,hmdlmhydb@bqshn.org
P0144,Talal,Al Shammari,12/29/2010,Saudi,177,54,Left,Defender,Goalkeeper,Abu Saad,001-398-668-3501x6617,qysljfly@gmail.com
P0145,Turki,Al Mutairi,9/11/2011,Saudi,140,41,Left,Defender,Midfielder,Abu Talal,576.996.4952,slfllyn@al.com
P0146,Bandar,Al Zahrani,8/5/2013,Saudi,140,36,Right,Forward,Goalkeeper,Abu Khalid,(163)648-4726,shr17@al.com
P0147,Talal,Al Harbi,10/2/2009,Saudi,141,66,Right,Forward,Forward,Abu Turki,776.228.9773x4478,lrshddhyb@bw.biz
P0148,Faisal,Al Zahrani,8/31/2011,Saudi,156,47,Left,Goalkeeper,Goalkeeper,Abu Talal,001-046-302-0536x7568,lfsyl@hnbwly.org
P0149,Nasser,Al Saud,5/6/2014,Saudi,140,71,Left,Defender,Forward,Abu Nasser,8133637601,hnbwlyrwwf@hnbwly.biz
P0150,Saad,Al Zahrani,5/23/2012,Saudi,149,59,Left,Forward,Forward,Abu Khalid,001-244-085-0815x3011,myrshrbtly@shrbtly.info
P0151,Omar,Al Qahtani,9/1/2009,Saudi,154,46,Left,Goalkeeper,Forward,Abu Talal,(555)452-4922x155,plshy@al.com
P0152,Talal,Al Subaie,7/23/2012,Saudi,145,46,Right,Forward,Forward,Abu Abdullah,-8918,sdr-ldwynal-qsyr@yahoo.com
P0153,Charles,Johnson,2/9/2011,Solomon Islands,161,58,Right,Goalkeeper,Forward,Cesar Moran,(042)623-9483x98861,mshry12@yahoo.com
P0154,Saad,Al Qahtani,5/7/2014,Saudi,158,65,Right,Forward,Forward,Abu Nasser,799-195-9398,nsr-ldwyn65@al.com
P0155,Christopher,Dean,7/29/2009,Poland,179,75,Left,Defender,Forward,Phillip Gray,465.480.7293,lrshdsbry@yahoo.com
P0156,Abdullah,Al Subaie,8/7/2012,Saudi,168,74,Right,Forward,Forward,Abu Faisal,914-639-4642,yllyn@yahoo.com
P0157,Omar,Al Qahtani,7/28/2011,Saudi,171,35,Left,Midfielder,Midfielder,Abu Omar,(010)970-9714,jwdyljbr@hjr-shrbtly.biz
P0158,Mohammed,Al Harbi,11/8/2014,Saudi,154,42,Right,Goalkeeper,Goalkeeper,Abu Turki,(273)656-2176x5717,ual-qsyr@lshy.com
P0159,Faisal,Al Shehri,5/25/2013,Saudi,178,37,Left,Defender,Defender,Abu Talal,086-510-3116,smyr72@yahoo.com
P0160,Abdullah,Al Qahtani,6/2/2009,Saudi,156,48,Right,Goalkeeper,Defender,Abu Khalid,+1-953-357-9224x4443,smwhshrbtly@yahoo.com
P0161,Abdullah,Al Dossari,10/13/2011,Saudi,165,70,Right,Forward,Defender,Abu Omar,(569)385-6190,ibw-dwwd@al.info
P0162,Faisal,Al Otaibi,4/8/2010,Saudi,140,51,Left,Forward,Defender,Abu Talal,001-471-169-3478x79461,mjd06@knw.biz
P0163,Bandar,Al Mutairi,8/7/2009,Saudi,177,56,Left,Forward,Midfielder,Abu Talal,+1-191-943-7789x954,ftyn90@yahoo.com
P0164,Faisal,Al Mutairi,4/20/2010,Saudi,173,50,Left,Defender,Goalkeeper,Abu Omar,654-983-5863x371,lrshdmythq@bw.org
P0165,Mohammed,Al Mutairi,2/27/2012,Saudi,173,47,Right,Midfielder,Defender,Abu Talal,001-467-545-4812x6966,fthylqyl@al.com
P0166,Nasser,Al Harbi,7/6/2012,Saudi,174,55,Right,Midfielder,Goalkeeper,Abu Turki,119-140-8966x1914,al-hsynmursy@hotmail.com
P0167,Mohammed,Al Shammari,1/7/2011,Saudi,167,46,Left,Forward,Midfielder,Abu Turki,094-014-0235x33513,b22@lmgwl.net
P0168,Abdullah,Al Dossari,3/13/2010,Saudi,158,56,Left,Midfielder,Goalkeeper,Abu Faisal,186.475.1214x05469,al-bn-zfrhkym@yahoo.com
P0169,Talal,Al Harbi,6/19/2010,Saudi,146,43,Left,Midfielder,Defender,Abu Turki,235-567-8027x9824,jlmgwl@al.com
P0170,Saad,Al Shehri,2/15/2013,Saudi,174,45,Right,Defender,Midfielder,Abu Nasser,8323517450,al-mqtnsr@bw.org
P0171,Turki,Al Dossari,8/13/2010,Saudi,151,61,Left,Defender,Forward,Abu Abdullah,(778)300-6027,mrshd02@lhkyr-al.com
P0172,Mohammed,Al Otaibi,8/15/2012,Saudi,176,36,Right,Defender,Forward,Abu Talal,943-423-4301,khjr@lmhydb-lrshd.com
P0173,Abdullah,Al Qahtani,7/22/2010,Saudi,163,56,Right,Forward,Forward,Abu Talal,574.654.0683x31896,ryjlhjr@mhn-hnbwly.com
P0174,Saad,Al Mutairi,5/5/2014,Saudi,152,58,Left,Midfielder,Midfielder,Abu Talal,001-253-849-9852x057,rzylqyl@al.org
P0175,Saad,Al Shehri,9/12/2010,Saudi,151,73,Right,Defender,Forward,Abu Nasser,4497608316,sdhal-lskry@yahoo.com
P0176,Mohammed,Al Zahrani,8/10/2011,Saudi,175,75,Right,Midfielder,Forward,Abu Bandar,557.891.7730x915,zal-mqt@yahoo.com
P0177,Omar,Al Mutairi,10/6/2013,Saudi,156,63,Right,Goalkeeper,Goalkeeper,Abu Omar,+1-162-782-2321x334,al-lshykhmundl@ljbr-b.org
P0178,Saad,Al Qahtani,10/29/2012,Saudi,160,44,Left,Midfielder,Forward,Abu Bandar,097-452-5020x0062,dal-lshykh@lmhn.com
P0179,Mohammed,Al Subaie,6/10/2010,Saudi,145,58,Left,Forward,Forward,Abu Bandar,001-213-819-4302x616,slf65@al.org
